,Number of Insured,Number of Uninsured,State,Race,RACECAT,IPRCAT,Income Poverty Ratio,Age Range,AGECAT,Sex,SEXCAT,Year,state
1156,147268,42398,Arkansas,Hispanic (any race),3,4,<= 400% of Poverty,Under 65 years,0,Both Sexes,0,2020,05
1157,88456,23788,Arkansas,Hispanic (any race),3,5,138% to 400% of Poverty,Under 65 years,0,Both Sexes,0,2020,05
1158,92054,25313,Arkansas,Hispanic (any race),3,0,All Incomes,Under 65 years,0,Male Only,1,2020,05
1159,44671,14555,Arkansas,Hispanic (any race),3,1,<= 200% of Poverty,Under 65 years,0,Male Only,1,2020,05
1160,54728,17838,Arkansas,Hispanic (any race),3,2,<= 250% of Poverty,Under 65 years,0,Male Only,1,2020,05
1161,28753,8969,Arkansas,Hispanic (any race),3,3,<= 138% of Poverty,Under 65 years,0,Male Only,1,2020,05
1162,74628,22865,Arkansas,Hispanic (any race),3,4,<= 400% of Poverty,Under 65 years,0,Male Only,1,2020,05
1163,45875,13896,Arkansas,Hispanic (any race),3,5,138% to 400% of Poverty,Under 65 years,0,Male Only,1,2020,05
1164,88245,21082,Arkansas,Hispanic (any race),3,0,All Incomes,Under 65 years,0,Female Only,2,2020,05
1165,45952,14028,Arkansas,Hispanic (any race),3,1,<= 200% of Poverty,Under 65 years,0,Female Only,2,2020,05
1166,55249,16271,Arkansas,Hispanic (any race),3,2,<= 250% of Poverty,Under 65 years,0,Female Only,2,2020,05
1167,30059,9641,Arkansas,Hispanic (any race),3,3,<= 138% of Poverty,Under 65 years,0,Female Only,2,2020,05
1168,72640,19533,Arkansas,Hispanic (any race),3,4,<= 400% of Poverty,Under 65 years,0,Female Only,2,2020,05
1169,42581,9892,Arkansas,Hispanic (any race),3,5,138% to 400% of Poverty,Under 65 years,0,Female Only,2,2020,05
1170,1512266,217706,Arkansas,All Races,0,0,All Incomes,18 to 64 years,1,Both Sexes,0,2020,05
1171,458941,118803,Arkansas,All Races,0,1,<= 200% of Poverty,18 to 64 years,1,Both Sexes,0,2020,05
1172,591781,143442,Arkansas,All Races,0,2,<= 250% of Poverty,18 to 64 years,1,Both Sexes,0,2020,05
1173,291213,78995,Arkansas,All Races,0,3,<= 138% of Poverty,18 to 64 years,1,Both Sexes,0,2020,05
1174,941305,186977,Arkansas,All Races,0,4,<= 400% of Poverty,18 to 64 years,1,Both Sexes,0,2020,05
1175,650092,107982,Arkansas,All Races,0,5,138% to 400% of Poverty,18 to 64 years,1,Both Sexes,0,2020,05
1176,725611,121893,Arkansas,All Races,0,0,All Incomes,18 to 64 years,1,Male Only,1,2020,05
1177,199003,61976,Arkansas,All Races,0,1,<= 200% of Poverty,18 to 64 years,1,Male Only,1,2020,05
1178,263271,76562,Arkansas,All Races,0,2,<= 250% of Poverty,18 to 64 years,1,Male Only,1,2020,05
1179,120906,39442,Arkansas,All Races,0,3,<= 138% of Poverty,18 to 64 years,1,Male Only,1,2020,05
1180,435830,103013,Arkansas,All Races,0,4,<= 400% of Poverty,18 to 64 years,1,Male Only,1,2020,05
1181,314924,63571,Arkansas,All Races,0,5,138% to 400% of Poverty,18 to 64 years,1,Male Only,1,2020,05
1182,786655,95813,Arkansas,All Races,0,0,All Incomes,18 to 64 years,1,Female Only,2,2020,05
1183,259938,56827,Arkansas,All Races,0,1,<= 200% of Poverty,18 to 64 years,1,Female Only,2,2020,05
1184,328510,66880,Arkansas,All Races,0,2,<= 250% of Poverty,18 to 64 years,1,Female Only,2,2020,05
1185,170307,39553,Arkansas,All Races,0,3,<= 138% of Poverty,18 to 64 years,1,Female Only,2,2020,05
1186,505475,83964,Arkansas,All Races,0,4,<= 400% of Poverty,18 to 64 years,1,Female Only,2,2020,05
1187,335168,44411,Arkansas,All Races,0,5,138% to 400% of Poverty,18 to 64 years,1,Female Only,2,2020,05
1188,1118708,127419,Arkansas,"White alone, not Hispanic",1,0,All Incomes,18 to 64 years,1,Both Sexes,0,2020,05
1189,297955,63835,Arkansas,"White alone, not Hispanic",1,1,<= 200% of Poverty,18 to 64 years,1,Both Sexes,0,2020,05
1190,389773,78355,Arkansas,"White alone, not Hispanic",1,2,<= 250% of Poverty,18 to 64 years,1,Both Sexes,0,2020,05
1191,186243,41439,Arkansas,"White alone, not Hispanic",1,3,<= 138% of Poverty,18 to 64 years,1,Both Sexes,0,2020,05
1192,648622,105817,Arkansas,"White alone, not Hispanic",1,4,<= 400% of Poverty,18 to 64 years,1,Both Sexes,0,2020,05
1193,462379,64378,Arkansas,"White alone, not Hispanic",1,5,138% to 400% of Poverty,18 to 64 years,1,Both Sexes,0,2020,05
1194,544090,72282,Arkansas,"White alone, not Hispanic",1,0,All Incomes,18 to 64 years,1,Male Only,1,2020,05
1195,132995,33685,Arkansas,"White alone, not Hispanic",1,1,<= 200% of Poverty,18 to 64 years,1,Male Only,1,2020,05
1196,177682,42225,Arkansas,"White alone, not Hispanic",1,2,<= 250% of Poverty,18 to 64 years,1,Male Only,1,2020,05
1197,79873,20915,Arkansas,"White alone, not Hispanic",1,3,<= 138% of Poverty,18 to 64 years,1,Male Only,1,2020,05
1198,305232,58966,Arkansas,"White alone, not Hispanic",1,4,<= 400% of Poverty,18 to 64 years,1,Male Only,1,2020,05
1199,225359,38051,Arkansas,"White alone, not Hispanic",1,5,138% to 400% of Poverty,18 to 64 years,1,Male Only,1,2020,05
1200,574618,55137,Arkansas,"White alone, not Hispanic",1,0,All Incomes,18 to 64 years,1,Female Only,2,2020,05
1201,164960,30150,Arkansas,"White alone, not Hispanic",1,1,<= 200% of Poverty,18 to 64 years,1,Female Only,2,2020,05
1202,212091,36130,Arkansas,"White alone, not Hispanic",1,2,<= 250% of Poverty,18 to 64 years,1,Female Only,2,2020,05
1203,106370,20524,Arkansas,"White alone, not Hispanic",1,3,<= 138% of Poverty,18 to 64 years,1,Female Only,2,2020,05
1204,343390,46851,Arkansas,"White alone, not Hispanic",1,4,<= 400% of Poverty,18 to 64 years,1,Female Only,2,2020,05
1205,237020,26327,Arkansas,"White alone, not Hispanic",1,5,138% to 400% of Poverty,18 to 64 years,1,Female Only,2,2020,05
1206,220431,36483,Arkansas,"Black alone, not Hispanic",2,0,All Incomes,18 to 64 years,1,Both Sexes,0,2020,05
1207,99182,22754,Arkansas,"Black alone, not Hispanic",2,1,<= 200% of Poverty,18 to 64 years,1,Both Sexes,0,2020,05
1208,122315,26652,Arkansas,"Black alone, not Hispanic",2,2,<= 250% of Poverty,18 to 64 years,1,Both Sexes,0,2020,05
1209,67538,16394,Arkansas,"Black alone, not Hispanic",2,3,<= 138% of Poverty,18 to 64 years,1,Both Sexes,0,2020,05
1210,171224,32749,Arkansas,"Black alone, not Hispanic",2,4,<= 400% of Poverty,18 to 64 years,1,Both Sexes,0,2020,05
1211,103686,16355,Arkansas,"Black alone, not Hispanic",2,5,138% to 400% of Poverty,18 to 64 years,1,Both Sexes,0,2020,05
1212,95468,19918,Arkansas,"Black alone, not Hispanic",2,0,All Incomes,18 to 64 years,1,Male Only,1,2020,05
1213,37689,11768,Arkansas,"Black alone, not Hispanic",2,1,<= 200% of Poverty,18 to 64 years,1,Male Only,1,2020,05
1214,48109,14061,Arkansas,"Black alone, not Hispanic",2,2,<= 250% of Poverty,18 to 64 years,1,Male Only,1,2020,05
1215,24469,8269,Arkansas,"Black alone, not Hispanic",2,3,<= 138% of Poverty,18 to 64 years,1,Male Only,1,2020,05
1216,71540,17687,Arkansas,"Black alone, not Hispanic",2,4,<= 400% of Poverty,18 to 64 years,1,Male Only,1,2020,05
1217,47071,9418,Arkansas,"Black alone, not Hispanic",2,5,138% to 400% of Poverty,18 to 64 years,1,Male Only,1,2020,05
1218,124963,16565,Arkansas,"Black alone, not Hispanic",2,0,All Incomes,18 to 64 years,1,Female Only,2,2020,05
1219,61493,10986,Arkansas,"Black alone, not Hispanic",2,1,<= 200% of Poverty,18 to 64 years,1,Female Only,2,2020,05
1220,74206,12591,Arkansas,"Black alone, not Hispanic",2,2,<= 250% of Poverty,18 to 64 years,1,Female Only,2,2020,05
1221,43069,8125,Arkansas,"Black alone, not Hispanic",2,3,<= 138% of Poverty,18 to 64 years,1,Female Only,2,2020,05
1222,99684,15062,Arkansas,"Black alone, not Hispanic",2,4,<= 400% of Poverty,18 to 64 years,1,Female Only,2,2020,05
1223,56615,6937,Arkansas,"Black alone, not Hispanic",2,5,138% to 400% of Poverty,18 to 64 years,1,Female Only,2,2020,05
1224,98201,40675,Arkansas,Hispanic (any race),3,0,All Incomes,18 to 64 years,1,Both Sexes,0,2020,05
1225,38122,24701,Arkansas,Hispanic (any race),3,1,<= 200% of Poverty,18 to 64 years,1,Both Sexes,0,2020,05
1226,49533,29657,Arkansas,Hispanic (any race),3,2,<= 250% of Poverty,18 to 64 years,1,Both Sexes,0,2020,05
1227,22473,15957,Arkansas,Hispanic (any race),3,3,<= 138% of Poverty,18 to 64 years,1,Both Sexes,0,2020,05
1228,73827,37044,Arkansas,Hispanic (any race),3,4,<= 400% of Poverty,18 to 64 years,1,Both Sexes,0,2020,05
1229,51354,21087,Arkansas,Hispanic (any race),3,5,138% to 400% of Poverty,18 to 64 years,1,Both Sexes,0,2020,05
1230,50130,22336,Arkansas,Hispanic (any race),3,0,All Incomes,18 to 64 years,1,Male Only,1,2020,05
1231,18011,12575,Arkansas,Hispanic (any race),3,1,<= 200% of Poverty,18 to 64 years,1,Male Only,1,2020,05
1232,24148,15568,Arkansas,Hispanic (any race),3,2,<= 250% of Poverty,18 to 64 years,1,Male Only,1,2020,05
1233,10166,7629,Arkansas,Hispanic (any race),3,3,<= 138% of Poverty,18 to 64 years,1,Male Only,1,2020,05
1234,37076,20081,Arkansas,Hispanic (any race),3,4,<= 400% of Poverty,18 to 64 years,1,Male Only,1,2020,05
1235,26910,12452,Arkansas,Hispanic (any race),3,5,138% to 400% of Poverty,18 to 64 years,1,Male Only,1,2020,05
1236,48071,18339,Arkansas,Hispanic (any race),3,0,All Incomes,18 to 64 years,1,Female Only,2,2020,05
1237,20111,12126,Arkansas,Hispanic (any race),3,1,<= 200% of Poverty,18 to 64 years,1,Female Only,2,2020,05
1238,25385,14089,Arkansas,Hispanic (any race),3,2,<= 250% of Poverty,18 to 64 years,1,Female Only,2,2020,05
1239,12307,8328,Arkansas,Hispanic (any race),3,3,<= 138% of Poverty,18 to 64 years,1,Female Only,2,2020,05
1240,36751,16963,Arkansas,Hispanic (any race),3,4,<= 400% of Poverty,18 to 64 years,1,Female Only,2,2020,05
1241,24444,8635,Arkansas,Hispanic (any race),3,5,138% to 400% of Poverty,18 to 64 years,1,Female Only,2,2020,05
1242,818788,92186,Arkansas,All Races,0,0,All Incomes,40 to 64 years,2,Both Sexes,0,2020,05
1243,213723,47912,Arkansas,All Races,0,1,<= 200% of Poverty,40 to 64 years,2,Both Sexes,0,2020,05
1244,278366,58134,Arkansas,All Races,0,2,<= 250% of Poverty,40 to 64 years,2,Both Sexes,0,2020,05
1245,134900,32127,Arkansas,All Races,0,3,<= 138% of Poverty,40 to 64 years,2,Both Sexes,0,2020,05
1246,461285,77324,Arkansas,All Races,0,4,<= 400% of Poverty,40 to 64 years,2,Both Sexes,0,2020,05
1247,326385,45197,Arkansas,All Races,0,5,138% to 400% of Poverty,40 to 64 years,2,Both Sexes,0,2020,05
1248,389897,50908,Arkansas,All Races,0,0,All Incomes,40 to 64 years,2,Male Only,1,2020,05
1249,94762,25199,Arkansas,All Races,0,1,<= 200% of Poverty,40 to 64 years,2,Male Only,1,2020,05
1250,124969,31119,Arkansas,All Races,0,2,<= 250% of Poverty,40 to 64 years,2,Male Only,1,2020,05
1251,58741,16483,Arkansas,All Races,0,3,<= 138% of Poverty,40 to 64 years,2,Male Only,1,2020,05
1252,212591,42234,Arkansas,All Races,0,4,<= 400% of Poverty,40 to 64 years,2,Male Only,1,2020,05
1253,153850,25751,Arkansas,All Races,0,5,138% to 400% of Poverty,40 to 64 years,2,Male Only,1,2020,05
1254,428891,41278,Arkansas,All Races,0,0,All Incomes,40 to 64 years,2,Female Only,2,2020,05
1255,118961,22713,Arkansas,All Races,0,1,<= 200% of Poverty,40 to 64 years,2,Female Only,2,2020,05
1256,153397,27015,Arkansas,All Races,0,2,<= 250% of Poverty,40 to 64 years,2,Female Only,2,2020,05
1257,76159,15644,Arkansas,All Races,0,3,<= 138% of Poverty,40 to 64 years,2,Female Only,2,2020,05
1258,248694,35090,Arkansas,All Races,0,4,<= 400% of Poverty,40 to 64 years,2,Female Only,2,2020,05
1259,172535,19446,Arkansas,All Races,0,5,138% to 400% of Poverty,40 to 64 years,2,Female Only,2,2020,05
1260,633632,55890,Arkansas,"White alone, not Hispanic",1,0,All Incomes,40 to 64 years,2,Both Sexes,0,2020,05
1261,145664,26392,Arkansas,"White alone, not Hispanic",1,1,<= 200% of Poverty,40 to 64 years,2,Both Sexes,0,2020,05
1262,192071,32553,Arkansas,"White alone, not Hispanic",1,2,<= 250% of Poverty,40 to 64 years,2,Both Sexes,0,2020,05
1263,90688,17447,Arkansas,"White alone, not Hispanic",1,3,<= 138% of Poverty,40 to 64 years,2,Both Sexes,0,2020,05
1264,332152,45116,Arkansas,"White alone, not Hispanic",1,4,<= 400% of Poverty,40 to 64 years,2,Both Sexes,0,2020,05
1265,241464,27669,Arkansas,"White alone, not Hispanic",1,5,138% to 400% of Poverty,40 to 64 years,2,Both Sexes,0,2020,05
1266,306096,31641,Arkansas,"White alone, not Hispanic",1,0,All Incomes,40 to 64 years,2,Male Only,1,2020,05
1267,66483,14317,Arkansas,"White alone, not Hispanic",1,1,<= 200% of Poverty,40 to 64 years,2,Male Only,1,2020,05
1268,88183,17870,Arkansas,"White alone, not Hispanic",1,2,<= 250% of Poverty,40 to 64 years,2,Male Only,1,2020,05
1269,40789,9283,Arkansas,"White alone, not Hispanic",1,3,<= 138% of Poverty,40 to 64 years,2,Male Only,1,2020,05
1270,155681,25270,Arkansas,"White alone, not Hispanic",1,4,<= 400% of Poverty,40 to 64 years,2,Male Only,1,2020,05
1271,114892,15987,Arkansas,"White alone, not Hispanic",1,5,138% to 400% of Poverty,40 to 64 years,2,Male Only,1,2020,05
1272,327536,24249,Arkansas,"White alone, not Hispanic",1,0,All Incomes,40 to 64 years,2,Female Only,2,2020,05
1273,79181,12075,Arkansas,"White alone, not Hispanic",1,1,<= 200% of Poverty,40 to 64 years,2,Female Only,2,2020,05
1274,103888,14683,Arkansas,"White alone, not Hispanic",1,2,<= 250% of Poverty,40 to 64 years,2,Female Only,2,2020,05
1275,49899,8164,Arkansas,"White alone, not Hispanic",1,3,<= 138% of Poverty,40 to 64 years,2,Female Only,2,2020,05
1276,176471,19846,Arkansas,"White alone, not Hispanic",1,4,<= 400% of Poverty,40 to 64 years,2,Female Only,2,2020,05
1277,126572,11682,Arkansas,"White alone, not Hispanic",1,5,138% to 400% of Poverty,40 to 64 years,2,Female Only,2,2020,05
1278,111412,14756,Arkansas,"Black alone, not Hispanic",2,0,All Incomes,40 to 64 years,2,Both Sexes,0,2020,05
1279,45393,8985,Arkansas,"Black alone, not Hispanic",2,1,<= 200% of Poverty,40 to 64 years,2,Both Sexes,0,2020,05
1280,56248,10509,Arkansas,"Black alone, not Hispanic",2,2,<= 250% of Poverty,40 to 64 years,2,Both Sexes,0,2020,05
1281,31055,6540,Arkansas,"Black alone, not Hispanic",2,3,<= 138% of Poverty,40 to 64 years,2,Both Sexes,0,2020,05
1282,81420,13033,Arkansas,"Black alone, not Hispanic",2,4,<= 400% of Poverty,40 to 64 years,2,Both Sexes,0,2020,05
1283,50365,6493,Arkansas,"Black alone, not Hispanic",2,5,138% to 400% of Poverty,40 to 64 years,2,Both Sexes,0,2020,05
1284,47466,7635,Arkansas,"Black alone, not Hispanic",2,0,All Incomes,40 to 64 years,2,Male Only,1,2020,05
1285,17744,4478,Arkansas,"Black alone, not Hispanic",2,1,<= 200% of Poverty,40 to 64 years,2,Male Only,1,2020,05
1286,22557,5352,Arkansas,"Black alone, not Hispanic",2,2,<= 250% of Poverty,40 to 64 years,2,Male Only,1,2020,05
1287,11968,3230,Arkansas,"Black alone, not Hispanic",2,3,<= 138% of Poverty,40 to 64 years,2,Male Only,1,2020,05
1288,33742,6701,Arkansas,"Black alone, not Hispanic",2,4,<= 400% of Poverty,40 to 64 years,2,Male Only,1,2020,05
1289,21774,3471,Arkansas,"Black alone, not Hispanic",2,5,138% to 400% of Poverty,40 to 64 years,2,Male Only,1,2020,05
1290,63946,7121,Arkansas,"Black alone, not Hispanic",2,0,All Incomes,40 to 64 years,2,Female Only,2,2020,05
1291,27649,4507,Arkansas,"Black alone, not Hispanic",2,1,<= 200% of Poverty,40 to 64 years,2,Female Only,2,2020,05
1292,33691,5157,Arkansas,"Black alone, not Hispanic",2,2,<= 250% of Poverty,40 to 64 years,2,Female Only,2,2020,05
1293,19087,3310,Arkansas,"Black alone, not Hispanic",2,3,<= 138% of Poverty,40 to 64 years,2,Female Only,2,2020,05
1294,47678,6332,Arkansas,"Black alone, not Hispanic",2,4,<= 400% of Poverty,40 to 64 years,2,Female Only,2,2020,05
1295,28591,3022,Arkansas,"Black alone, not Hispanic",2,5,138% to 400% of Poverty,40 to 64 years,2,Female Only,2,2020,05
1296,41196,17043,Arkansas,Hispanic (any race),3,0,All Incomes,40 to 64 years,2,Both Sexes,0,2020,05
1297,13675,10091,Arkansas,Hispanic (any race),3,1,<= 200% of Poverty,40 to 64 years,2,Both Sexes,0,2020,05
1298,18292,12199,Arkansas,Hispanic (any race),3,2,<= 250% of Poverty,40 to 64 years,2,Both Sexes,0,2020,05
1299,7610,6433,Arkansas,Hispanic (any race),3,3,<= 138% of Poverty,40 to 64 years,2,Both Sexes,0,2020,05
1300,28654,15374,Arkansas,Hispanic (any race),3,4,<= 400% of Poverty,40 to 64 years,2,Both Sexes,0,2020,05
1301,21044,8941,Arkansas,Hispanic (any race),3,5,138% to 400% of Poverty,40 to 64 years,2,Both Sexes,0,2020,05
1302,21314,9220,Arkansas,Hispanic (any race),3,0,All Incomes,40 to 64 years,2,Male Only,1,2020,05
1303,6742,5147,Arkansas,Hispanic (any race),3,1,<= 200% of Poverty,40 to 64 years,2,Male Only,1,2020,05
1304,9232,6397,Arkansas,Hispanic (any race),3,2,<= 250% of Poverty,40 to 64 years,2,Male Only,1,2020,05
1305,3669,3117,Arkansas,Hispanic (any race),3,3,<= 138% of Poverty,40 to 64 years,2,Male Only,1,2020,05
1306,14710,8240,Arkansas,Hispanic (any race),3,4,<= 400% of Poverty,40 to 64 years,2,Male Only,1,2020,05
1307,11041,5123,Arkansas,Hispanic (any race),3,5,138% to 400% of Poverty,40 to 64 years,2,Male Only,1,2020,05
1308,19882,7823,Arkansas,Hispanic (any race),3,0,All Incomes,40 to 64 years,2,Female Only,2,2020,05
1309,6933,4944,Arkansas,Hispanic (any race),3,1,<= 200% of Poverty,40 to 64 years,2,Female Only,2,2020,05
1310,9060,5802,Arkansas,Hispanic (any race),3,2,<= 250% of Poverty,40 to 64 years,2,Female Only,2,2020,05
1311,3941,3316,Arkansas,Hispanic (any race),3,3,<= 138% of Poverty,40 to 64 years,2,Female Only,2,2020,05
1312,13944,7134,Arkansas,Hispanic (any race),3,4,<= 400% of Poverty,40 to 64 years,2,Female Only,2,2020,05
1313,10003,3818,Arkansas,Hispanic (any race),3,5,138% to 400% of Poverty,40 to 64 years,2,Female Only,2,2020,05
1314,507794,46335,Arkansas,All Races,0,0,All Incomes,50 to 64 years,3,Both Sexes,0,2020,05
1315,137824,22932,Arkansas,All Races,0,1,<= 200% of Poverty,50 to 64 years,3,Both Sexes,0,2020,05
1316,176677,27852,Arkansas,All Races,0,2,<= 250% of Poverty,50 to 64 years,3,Both Sexes,0,2020,05
1317,90206,15685,Arkansas,All Races,0,3,<= 138% of Poverty,50 to 64 years,3,Both Sexes,0,2020,05
1318,284502,37922,Arkansas,All Races,0,4,<= 400% of Poverty,50 to 64 years,3,Both Sexes,0,2020,05
1319,194296,22237,Arkansas,All Races,0,5,138% to 400% of Poverty,50 to 64 years,3,Both Sexes,0,2020,05
1320,241897,24901,Arkansas,All Races,0,0,All Incomes,50 to 64 years,3,Male Only,1,2020,05
1321,62010,11925,Arkansas,All Races,0,1,<= 200% of Poverty,50 to 64 years,3,Male Only,1,2020,05
1322,79732,14622,Arkansas,All Races,0,2,<= 250% of Poverty,50 to 64 years,3,Male Only,1,2020,05
1323,40231,8134,Arkansas,All Races,0,3,<= 138% of Poverty,50 to 64 years,3,Male Only,1,2020,05
1324,130925,20168,Arkansas,All Races,0,4,<= 400% of Poverty,50 to 64 years,3,Male Only,1,2020,05
1325,90694,12034,Arkansas,All Races,0,5,138% to 400% of Poverty,50 to 64 years,3,Male Only,1,2020,05
1326,265897,21434,Arkansas,All Races,0,0,All Incomes,50 to 64 years,3,Female Only,2,2020,05
1327,75814,11007,Arkansas,All Races,0,1,<= 200% of Poverty,50 to 64 years,3,Female Only,2,2020,05
1328,96945,13230,Arkansas,All Races,0,2,<= 250% of Poverty,50 to 64 years,3,Female Only,2,2020,05
1329,49975,7551,Arkansas,All Races,0,3,<= 138% of Poverty,50 to 64 years,3,Female Only,2,2020,05
1330,153577,17754,Arkansas,All Races,0,4,<= 400% of Poverty,50 to 64 years,3,Female Only,2,2020,05
1331,103602,10203,Arkansas,All Races,0,5,138% to 400% of Poverty,50 to 64 years,3,Female Only,2,2020,05
1332,401584,29654,Arkansas,"White alone, not Hispanic",1,0,All Incomes,50 to 64 years,3,Both Sexes,0,2020,05
1333,98014,13594,Arkansas,"White alone, not Hispanic",1,1,<= 200% of Poverty,50 to 64 years,3,Both Sexes,0,2020,05
1334,126785,16756,Arkansas,"White alone, not Hispanic",1,2,<= 250% of Poverty,50 to 64 years,3,Both Sexes,0,2020,05
1335,63017,9086,Arkansas,"White alone, not Hispanic",1,3,<= 138% of Poverty,50 to 64 years,3,Both Sexes,0,2020,05
1336,210115,23420,Arkansas,"White alone, not Hispanic",1,4,<= 400% of Poverty,50 to 64 years,3,Both Sexes,0,2020,05
1337,147098,14334,Arkansas,"White alone, not Hispanic",1,5,138% to 400% of Poverty,50 to 64 years,3,Both Sexes,0,2020,05
1338,193650,16391,Arkansas,"White alone, not Hispanic",1,0,All Incomes,50 to 64 years,3,Male Only,1,2020,05
1339,45362,7383,Arkansas,"White alone, not Hispanic",1,1,<= 200% of Poverty,50 to 64 years,3,Male Only,1,2020,05
1340,58408,9103,Arkansas,"White alone, not Hispanic",1,2,<= 250% of Poverty,50 to 64 years,3,Male Only,1,2020,05
1341,29010,4942,Arkansas,"White alone, not Hispanic",1,3,<= 138% of Poverty,50 to 64 years,3,Male Only,1,2020,05
1342,98028,12833,Arkansas,"White alone, not Hispanic",1,4,<= 400% of Poverty,50 to 64 years,3,Male Only,1,2020,05
1343,69018,7891,Arkansas,"White alone, not Hispanic",1,5,138% to 400% of Poverty,50 to 64 years,3,Male Only,1,2020,05
1344,207934,13263,Arkansas,"White alone, not Hispanic",1,0,All Incomes,50 to 64 years,3,Female Only,2,2020,05
1345,52652,6211,Arkansas,"White alone, not Hispanic",1,1,<= 200% of Poverty,50 to 64 years,3,Female Only,2,2020,05
1346,68377,7653,Arkansas,"White alone, not Hispanic",1,2,<= 250% of Poverty,50 to 64 years,3,Female Only,2,2020,05
1347,34007,4144,Arkansas,"White alone, not Hispanic",1,3,<= 138% of Poverty,50 to 64 years,3,Female Only,2,2020,05
1348,112087,10587,Arkansas,"White alone, not Hispanic",1,4,<= 400% of Poverty,50 to 64 years,3,Female Only,2,2020,05
1349,78080,6443,Arkansas,"White alone, not Hispanic",1,5,138% to 400% of Poverty,50 to 64 years,3,Female Only,2,2020,05
1350,67284,7991,Arkansas,"Black alone, not Hispanic",2,0,All Incomes,50 to 64 years,3,Both Sexes,0,2020,05
1351,27903,4712,Arkansas,"Black alone, not Hispanic",2,1,<= 200% of Poverty,50 to 64 years,3,Both Sexes,0,2020,05
1352,34012,5482,Arkansas,"Black alone, not Hispanic",2,2,<= 250% of Poverty,50 to 64 years,3,Both Sexes,0,2020,05
1353,19936,3542,Arkansas,"Black alone, not Hispanic",2,3,<= 138% of Poverty,50 to 64 years,3,Both Sexes,0,2020,05
1354,49212,6999,Arkansas,"Black alone, not Hispanic",2,4,<= 400% of Poverty,50 to 64 years,3,Both Sexes,0,2020,05
1355,29276,3457,Arkansas,"Black alone, not Hispanic",2,5,138% to 400% of Poverty,50 to 64 years,3,Both Sexes,0,2020,05
1356,28723,4110,Arkansas,"Black alone, not Hispanic",2,0,All Incomes,50 to 64 years,3,Male Only,1,2020,05
1357,11027,2370,Arkansas,"Black alone, not Hispanic",2,1,<= 200% of Poverty,50 to 64 years,3,Male Only,1,2020,05
1358,13666,2797,Arkansas,"Black alone, not Hispanic",2,2,<= 250% of Poverty,50 to 64 years,3,Male Only,1,2020,05
1359,7827,1790,Arkansas,"Black alone, not Hispanic",2,3,<= 138% of Poverty,50 to 64 years,3,Male Only,1,2020,05
1360,20443,3591,Arkansas,"Black alone, not Hispanic",2,4,<= 400% of Poverty,50 to 64 years,3,Male Only,1,2020,05
1361,12616,1801,Arkansas,"Black alone, not Hispanic",2,5,138% to 400% of Poverty,50 to 64 years,3,Male Only,1,2020,05
1362,38561,3881,Arkansas,"Black alone, not Hispanic",2,0,All Incomes,50 to 64 years,3,Female Only,2,2020,05
1363,16876,2342,Arkansas,"Black alone, not Hispanic",2,1,<= 200% of Poverty,50 to 64 years,3,Female Only,2,2020,05
1364,20346,2685,Arkansas,"Black alone, not Hispanic",2,2,<= 250% of Poverty,50 to 64 years,3,Female Only,2,2020,05
1365,12109,1752,Arkansas,"Black alone, not Hispanic",2,3,<= 138% of Poverty,50 to 64 years,3,Female Only,2,2020,05
1366,28769,3408,Arkansas,"Black alone, not Hispanic",2,4,<= 400% of Poverty,50 to 64 years,3,Female Only,2,2020,05
1367,16660,1656,Arkansas,"Black alone, not Hispanic",2,5,138% to 400% of Poverty,50 to 64 years,3,Female Only,2,2020,05
1368,21140,6298,Arkansas,Hispanic (any race),3,0,All Incomes,50 to 64 years,3,Both Sexes,0,2020,05
1369,6667,3371,Arkansas,Hispanic (any race),3,1,<= 200% of Poverty,50 to 64 years,3,Both Sexes,0,2020,05
1370,9007,4127,Arkansas,Hispanic (any race),3,2,<= 250% of Poverty,50 to 64 years,3,Both Sexes,0,2020,05
1371,3903,2164,Arkansas,Hispanic (any race),3,3,<= 138% of Poverty,50 to 64 years,3,Both Sexes,0,2020,05
1372,14410,5526,Arkansas,Hispanic (any race),3,4,<= 400% of Poverty,50 to 64 years,3,Both Sexes,0,2020,05
1373,10507,3362,Arkansas,Hispanic (any race),3,5,138% to 400% of Poverty,50 to 64 years,3,Both Sexes,0,2020,05
1374,11414,3163,Arkansas,Hispanic (any race),3,0,All Incomes,50 to 64 years,3,Male Only,1,2020,05
1375,3430,1558,Arkansas,Hispanic (any race),3,1,<= 200% of Poverty,50 to 64 years,3,Male Only,1,2020,05
1376,4768,1981,Arkansas,Hispanic (any race),3,2,<= 250% of Poverty,50 to 64 years,3,Male Only,1,2020,05
1377,1972,969,Arkansas,Hispanic (any race),3,3,<= 138% of Poverty,50 to 64 years,3,Male Only,1,2020,05
1378,7749,2736,Arkansas,Hispanic (any race),3,4,<= 400% of Poverty,50 to 64 years,3,Male Only,1,2020,05
1379,5777,1767,Arkansas,Hispanic (any race),3,5,138% to 400% of Poverty,50 to 64 years,3,Male Only,1,2020,05
1380,9726,3135,Arkansas,Hispanic (any race),3,0,All Incomes,50 to 64 years,3,Female Only,2,2020,05
1381,3237,1813,Arkansas,Hispanic (any race),3,1,<= 200% of Poverty,50 to 64 years,3,Female Only,2,2020,05
